date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:56:10	23282/23282	---M-Z	200	added ('OK')	text/html	etag:%22d81a8d689e7ed61:0%22	http://legacy.aonprd.com/coreRulebook/prestigeClasses.html	C:/Users/Jedi/Desktop/Pathfinder%20Site/Pathfinder/legacy.aonprd.com/coreRulebook/prestigeClasses.html	(from http://legacy.aonprd.com/)
14:56:11	52410/52410	---M-Z	200	added ('OK')	text/html	etag:%226c9183689e7ed61:0%22	http://legacy.aonprd.com/coreRulebook/gamemastering.html	C:/Users/Jedi/Desktop/Pathfinder%20Site/Pathfinder/legacy.aonprd.com/coreRulebook/gamemastering.html	(from http://legacy.aonprd.com/)
14:56:13	43989/43989	---M-Z	200	added ('OK')	text/html	etag:%22d81a8d689e7ed61:0%22	http://legacy.aonprd.com/coreRulebook/nPCClasses.html	C:/Users/Jedi/Desktop/Pathfinder%20Site/Pathfinder/legacy.aonprd.com/coreRulebook/nPCClasses.html	(from http://legacy.aonprd.com/)
14:56:13	210439/210439	---MCZ	200	added ('OK')	text/html	etag:%227d3062689e7ed61:0%22	http://legacy.aonprd.com/coreRulebook/environment.html	C:/Users/Jedi/Desktop/Pathfinder%20Site/Pathfinder/legacy.aonprd.com/coreRulebook/environment.html	(from http://legacy.aonprd.com/)
14:56:13	44976/44976	---M-Z	200	added ('OK')	text/html	etag:%226e95b689e7ed61:0%22	http://legacy.aonprd.com/coreRulebook/creatingNPCs.html	C:/Users/Jedi/Desktop/Pathfinder%20Site/Pathfinder/legacy.aonprd.com/coreRulebook/creatingNPCs.html	(from http://legacy.aonprd.com/)
14:56:13	42923/42923	---M-Z	200	added ('OK')	text/html	etag:%2280bf12689e7ed61:0%22	http://legacy.aonprd.com/coreRulebook/magicItems.html	C:/Users/Jedi/Desktop/Pathfinder%20Site/Pathfinder/legacy.aonprd.com/coreRulebook/magicItems.html	(from http://legacy.aonprd.com/)
14:56:14	124695/124695	---M-Z	200	added ('OK')	text/html	etag:%22a32da0689e7ed61:0%22	http://legacy.aonprd.com/coreRulebook/glossary.html	C:/Users/Jedi/Desktop/Pathfinder%20Site/Pathfinder/legacy.aonprd.com/coreRulebook/glossary.html	(from http://legacy.aonprd.com/)
14:56:15	39623/39623	---M-Z	200	added ('OK')	text/html	etag:%225ec4de6a9e7ed61:0%22	http://legacy.aonprd.com/advancedClassGuide/classes/index.html	C:/Users/Jedi/Desktop/Pathfinder%20Site/Pathfinder/legacy.aonprd.com/advancedClassGuide/classes/index.html	(from http://legacy.aonprd.com/)
14:56:16	28013/28013	---M-Z	200	added ('OK')	text/html	etag:%2262fb366b9e7ed61:0%22	http://legacy.aonprd.com/advancedClassGuide/classOptions/index.html	C:/Users/Jedi/Desktop/Pathfinder%20Site/Pathfinder/legacy.aonprd.com/advancedClassGuide/classOptions/index.html	(from http://legacy.aonprd.com/)
14:56:16	151410/151410	---M-Z	200	added ('OK')	text/html	etag:%22e603529e7ed61:0%22	http://legacy.aonprd.com/advancedClassGuide/feats.html	C:/Users/Jedi/Desktop/Pathfinder%20Site/Pathfinder/legacy.aonprd.com/advancedClassGuide/feats.html	(from http://legacy.aonprd.com/)
14:56:18	31511/31511	---M-Z	200	added ('OK')	text/html	etag:%22672e926d9e7ed61:0%22	http://legacy.aonprd.com/advancedClassGuide/spells/index.html	C:/Users/Jedi/Desktop/Pathfinder%20Site/Pathfinder/legacy.aonprd.com/advancedClassGuide/spells/index.html	(from http://legacy.aonprd.com/)
14:56:18	87643/87643	---M-Z	200	added ('OK')	text/html	etag:%22971986e9e7ed61:0%22	http://legacy.aonprd.com/advancedClassGuide/spells/spellLists.html	C:/Users/Jedi/Desktop/Pathfinder%20Site/Pathfinder/legacy.aonprd.com/advancedClassGuide/spells/spellLists.html	(from http://legacy.aonprd.com/)
14:56:19	23131/23131	---M-Z	200	added ('OK')	text/html	etag:%22142eec6b9e7ed61:0%22	http://legacy.aonprd.com/advancedClassGuide/gear/index.html	C:/Users/Jedi/Desktop/Pathfinder%20Site/Pathfinder/legacy.aonprd.com/advancedClassGuide/gear/index.html	(from http://legacy.aonprd.com/)
14:56:20	55153/55153	---M-Z	200	added ('OK')	text/html	etag:%225e9bfe519e7ed61:0%22	http://legacy.aonprd.com/advancedClassGuide/designingClasses.html	C:/Users/Jedi/Desktop/Pathfinder%20Site/Pathfinder/legacy.aonprd.com/advancedClassGuide/designingClasses.html	(from http://legacy.aonprd.com/)
14:56:20	105350/105350	---M-Z	200	added ('OK')	text/html	etag:%228dbf43529e7ed61:0%22	http://legacy.aonprd.com/advancedPlayersGuide/advancedRaces.html	C:/Users/Jedi/Desktop/Pathfinder%20Site/Pathfinder/legacy.aonprd.com/advancedPlayersGuide/advancedRaces.html	(from http://legacy.aonprd.com/)
14:56:21	23156/23156	---M-Z	200	added ('OK')	text/html	etag:%22bd248529e7ed61:0%22	http://legacy.aonprd.com/advancedPlayersGuide/advancedBaseClasses.html	C:/Users/Jedi/Desktop/Pathfinder%20Site/Pathfinder/legacy.aonprd.com/advancedPlayersGuide/advancedBaseClasses.html	(from http://legacy.aonprd.com/)
14:56:22	28359/28359	---M-Z	200	added ('OK')	text/html	etag:%22bc5b60529e7ed61:0%22	http://legacy.aonprd.com/advancedPlayersGuide/advancedCoreClasses.html	C:/Users/Jedi/Desktop/Pathfinder%20Site/Pathfinder/legacy.aonprd.com/advancedPlayersGuide/advancedCoreClasses.html	(from http://legacy.aonprd.com/)
14:56:22	22644/22644	---M-Z	200	added ('OK')	text/html	etag:%2219f33529e7ed61:0%22	http://legacy.aonprd.com/advancedPlayersGuide/advancedPrestigeClasses.html	C:/Users/Jedi/Desktop/Pathfinder%20Site/Pathfinder/legacy.aonprd.com/advancedPlayersGuide/advancedPrestigeClasses.html	(from http://legacy.aonprd.com/)
